"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.271577167E0,-5.738067627E-2,2.563796997E1,-4.240731812E1,4.955491324E1
1.281603167E0,9.574890137E-3,2.566915894E1,-4.216253662E1,4.936177981E1
1.291628167E0,-5.480194092E-2,2.562078857E1,-4.245285034E1,4.958500088E1
1.301654167E0,7.353973389E-2,2.588562012E1,-4.235827637E1,4.964165906E1
1.311680167E0,-2.783432007E-1,2.552368164E1,-4.278680420E1,4.982214782E1
1.321706167E0,-1.215820312E-1,2.574700928E1,-4.259060669E1,4.976829359E1
1.331731167E0,-3.742218018E-2,2.556521606E1,-4.238293457E1,4.949641215E1
1.341757167E0,-2.910614014E-2,2.555838013E1,-4.253189087E1,4.962049358E1
1.351783167E0,1.330490112E-1,2.564471436E1,-4.219226074E1,4.937464879E1
1.361808167E0,-3.243026733E-1,2.568984985E1,-4.279791260E1,4.991728038E1
1.371834167E0,4.827880859E-2,2.551760864E1,-4.258181763E1,4.964233953E1
1.381860167E0,1.656494141E-1,2.544586182E1,-4.239785767E1,4.944792875E1
1.391885875E0,4.632568359E-2,2.550674438E1,-4.239407349E1,4.947578824E1
1.401911875E0,-2.902984619E-2,2.573080444E1,-4.229461670E1,4.950666361E1
1.411937875E0,-2.713165283E-1,2.572717285E1,-4.262435913E1,4.978751879E1
1.421962875E0,-7.102966309E-3,2.574652100E1,-4.230007935E1,4.951949219E1
1.431988875E0,1.599578857E-1,2.542694092E1,-4.216223145E1,4.923625363E1
1.442014875E0,2.062988281E-1,2.564532471E1,-4.238842773E1,4.954295151E1
1.452039875E0,1.346206665E-1,2.567178345E1,-4.227032471E1,4.945542376E1
1.462065875E0,-5.892181396E-2,2.567596436E1,-4.259829712E1,4.973804917E1
1.472091875E0,1.255340576E-1,2.554309082E1,-4.236721802E1,4.947167280E1
1.482116875E0,9.407043457E-2,2.571093750E1,-4.220587158E1,4.942061060E1
1.492142875E0,3.900146484E-2,2.579898071E1,-4.233963013E1,4.958057287E1
1.502168875E0,2.774810791E-2,2.578729248E1,-4.229968262E1,4.954037114E1
1.512193875E0,-1.936569214E-1,2.582208252E1,-4.248965454E1,4.972110409E1
1.522219875E0,2.967834473E-3,2.572311401E1,-4.235574341E1,4.955489484E1
1.532245875E0,-7.289123535E-2,2.558847046E1,-4.239074707E1,4.951515496E1
1.542270875E0,6.913757324E-2,2.559277344E1,-4.246020508E1,4.957684790E1
1.552296875E0,-7.920074463E-2,2.574114990E1,-4.260549927E1,4.977792321E1
1.562322875E0,-9.890747070E-2,2.560180664E1,-4.258941650E1,4.969225980E1
1.572347875E0,-8.358001709E-2,2.565347290E1,-4.247360229E1,4.961969921E1
1.582373875E0,2.126312256E-2,2.571939087E1,-4.223062134E1,4.944606048E1
1.592399875E0,2.029418945E-2,2.581622314E1,-4.243783569E1,4.967341027E1
1.602424875E0,2.228088379E-1,2.569662476E1,-4.247799683E1,4.964621216E1
1.612450875E0,1.210784912E-2,2.545059204E1,-4.274380493E1,4.974701641E1
1.622476875E0,3.854370117E-2,2.519168091E1,-4.246850586E1,4.937809497E1
