"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.336471750E0,-2.459182739E-1,2.800436401E1,-5.076516724E1,5.797764297E1
2.346498750E0,-2.208480835E-1,2.850607300E1,-5.017993164E1,5.771196159E1
2.356524750E0,2.245330811E-1,2.827548218E1,-5.002325439E1,5.746198124E1
2.366551750E0,6.983947754E-2,2.824777222E1,-5.031118774E1,5.769884856E1
2.376577750E0,1.772842407E-1,2.847534180E1,-4.978125000E1,5.735023428E1
2.386604750E0,-4.103851318E-1,2.838769531E1,-5.072006226E1,5.812533334E1
2.396632583E0,2.042922974E-1,2.841271973E1,-4.996942139E1,5.748275786E1
2.406658583E0,1.717910767E-1,2.837573242E1,-4.996768188E1,5.746286571E1
2.416685583E0,6.954956055E-2,2.857199097E1,-5.025219727E1,5.780697912E1
2.426712583E0,1.264114380E-1,2.859899902E1,-4.995608521E1,5.756326236E1
2.436738583E0,-1.909637451E-1,2.853332520E1,-5.061886597E1,5.810728617E1
2.446765583E0,-5.968475342E-2,2.853698730E1,-5.010583496E1,5.766244795E1
2.456791583E0,1.220703125E-4,2.826721191E1,-5.031338501E1,5.771024156E1
2.466818583E0,7.868194580E-2,2.823541260E1,-5.024404907E1,5.763427090E1
2.476845583E0,-1.138305664E-2,2.830883789E1,-5.013366699E1,5.757408270E1
2.486871583E0,-2.301864624E-1,2.828240967E1,-5.035763550E1,5.775672372E1
2.496898583E0,-1.081924438E-1,2.865127563E1,-5.004394531E1,5.766544688E1
2.506925583E0,8.037567139E-2,2.865185547E1,-4.976452637E1,5.742336952E1
2.516951583E0,-2.842712402E-1,2.852880859E1,-5.026397705E1,5.779654937E1
2.526978583E0,5.619812012E-2,2.838305664E1,-5.006698608E1,5.755262077E1
2.537004583E0,-5.370635986E-1,2.884066772E1,-5.064221191E1,5.828126783E1
2.547031583E0,-4.225921631E-2,2.881594849E1,-4.997317505E1,5.768603728E1
2.557058583E0,-6.539230347E-1,2.869628906E1,-5.122863770E1,5.872203966E1
2.567084583E0,-2.406387329E-1,2.901504517E1,-5.040316772E1,5.815849095E1
2.577111583E0,-6.372451782E-1,2.919079590E1,-5.056991577E1,5.839370709E1
2.587138583E0,-4.269027710E-1,2.916735840E1,-5.013766479E1,5.800605549E1
2.597164583E0,-5.754623413E-1,2.919158936E1,-5.062203979E1,5.843860846E1
2.607191583E0,-1.162910461E0,2.939941406E1,-5.119970703E1,5.905156990E1
2.617218583E0,-9.419860840E-1,2.948361206E1,-5.062799072E1,5.859491584E1
2.627244583E0,-1.120429993E0,2.963162231E1,-5.081036377E1,5.883010684E1
2.637271583E0,-9.648590088E-1,2.982516479E1,-4.996624756E1,5.819877407E1
2.647298583E0,-1.091590881E0,2.986138916E1,-5.077798462E1,5.891772106E1
2.657324583E0,-1.841796875E0,3.012368774E1,-5.103982544E1,5.929496235E1
2.667351583E0,-1.200889587E0,3.002163696E1,-5.015512085E1,5.846603261E1
2.677378583E0,-1.344726562E0,3.020156860E1,-4.990029907E1,5.834366189E1
2.687404583E0,-1.469711304E0,3.015420532E1,-4.985156250E1,5.828048073E1
2.697431583E0,-1.332267761E0,3.007202148E1,-4.950265503E1,5.793629492E1
2.707457583E0,-1.964469910E0,3.032550049E1,-4.959350586E1,5.816365657E1
2.717484583E0,-1.506736755E0,3.013836670E1,-4.943722534E1,5.791917344E1
2.727511583E0,-1.930503845E0,3.022500610E1,-4.969750977E1,5.819897178E1
2.737537583E0,-2.068763733E0,3.042086792E1,-4.968743896E1,5.829708894E1
2.747564583E0,-2.373718262E0,3.049661255E1,-4.987805176E1,5.851066537E1
2.757591583E0,-2.279197693E0,3.055270386E1,-4.976660156E1,5.844122762E1
2.767617583E0,-1.769973755E0,3.043270874E1,-4.897332764E1,5.768595486E1
2.777644583E0,-2.136955261E0,3.062402344E1,-4.928952026E1,5.806766912E1
2.787671583E0,-2.251380920E0,3.069348145E1,-4.919189453E1,5.802586498E1
2.797697583E0,-2.441162109E0,3.094558716E1,-4.990426636E1,5.877094893E1
2.807724583E0,-2.858131409E0,3.111032104E1,-4.903546143E1,5.814204561E1
2.817751583E0,-2.280647278E0,3.097595215E1,-4.865963745E1,5.772756084E1
2.827777583E0,-2.343551636E0,3.089590454E1,-4.901498413E1,5.798722119E1
2.837804583E0,-2.318138123E0,3.098596191E1,-4.864422607E1,5.772143736E1
2.847831583E0,-2.331306458E0,3.071655273E1,-4.900930786E1,5.788656026E1
2.857857583E0,-2.354988098E0,3.075677490E1,-4.891159058E1,5.782619531E1
2.867884583E0,-2.430763245E0,3.093225098E1,-4.883883667E1,5.786142694E1
2.877910583E0,-2.354507446E0,3.047402954E1,-4.943463135E1,5.812050377E1
2.887937583E0,-2.035018921E0,3.040991211E1,-4.938754272E1,5.803476056E1
2.897964583E0,-2.218070984E0,3.032751465E1,-4.972448730E1,5.828552669E1
2.907990583E0,-2.140144348E0,3.027746582E1,-4.968603516E1,5.822376872E1
2.918017583E0,-2.251266479E0,3.019424438E1,-4.989126587E1,5.836008058E1
2.928044583E0,-2.389411926E0,3.001062012E1,-5.045086670E1,5.875063029E1
2.938070583E0,-2.421371460E0,3.003607178E1,-5.012597656E1,5.848625628E1
2.948097583E0,-2.662475586E0,2.980792236E1,-5.032000732E1,5.854659810E1
2.958124583E0,-2.661811829E0,3.024166870E1,-5.007748413E1,5.856106373E1
2.968150583E0,-2.855300903E0,3.056741333E1,-4.995965576E1,5.863861104E1
2.978177583E0,-3.054779053E0,3.068917847E1,-5.035397339E1,5.904811586E1
2.988204583E0,-2.849288940E0,3.022836304E1,-4.972454834E1,5.826150605E1
2.998230583E0,-2.923767090E0,2.989334106E1,-5.042526245E1,5.869299232E1
3.008257583E0,-3.189819336E0,3.058895874E1,-4.964324951E1,5.839787296E1
3.018284583E0,-3.272148132E0,3.076171875E1,-4.887194824E1,5.783993101E1
3.028310583E0,-3.714225769E0,3.057449341E1,-4.912161255E1,5.797868522E1
3.038337583E0,-3.967529297E0,3.042401123E1,-4.921270752E1,5.799355421E1
3.048364583E0,-4.254547119E0,3.074594116E1,-4.907736206E1,5.806893779E1
3.058390583E0,-4.024642944E0,3.053552246E1,-4.846664429E1,5.742500754E1
3.068417583E0,-4.380012512E0,3.079934692E1,-4.858670044E1,5.769273559E1
3.078444583E0,-4.977897644E0,3.056921387E1,-4.945831299E1,5.835564262E1
3.088470583E0,-4.490066528E0,3.096075439E1,-4.835644531E1,5.759405189E1
3.098497583E0,-5.146324158E0,3.157971191E1,-4.838934326E1,5.801113167E1
3.108524583E0,-4.881187439E0,3.180963135E1,-4.774505615E1,5.757837289E1
3.118550583E0,-5.223449707E0,3.188967896E1,-4.784561157E1,5.773593853E1
3.128577583E0,-5.641845703E0,3.200424194E1,-4.826773071E1,5.818827849E1
3.138604583E0,-5.483268738E0,3.222320557E1,-4.817993164E1,5.822119052E1
3.148630583E0,-5.717071533E0,3.248251343E1,-4.841308594E1,5.858007746E1
3.158657583E0,-5.588645935E0,3.249676514E1,-4.829202271E1,5.847556896E1
3.168684583E0,-6.008232117E0,3.254974365E1,-4.902081299E1,5.914917388E1
3.178710583E0,-6.541671753E0,3.221301270E1,-4.959603882E1,5.949990523E1
3.188737583E0,-6.253456116E0,3.236285400E1,-4.926443481E1,5.927431628E1
3.198764583E0,-6.604309082E0,3.258767700E1,-4.947750854E1,5.961205786E1
3.208790583E0,-6.937347412E0,3.257101440E1,-4.920040894E1,5.941109331E1
3.218817583E0,-7.176666260E0,3.293582153E1,-4.864984131E1,5.918682233E1
3.228844583E0,-7.797302246E0,3.315545654E1,-4.866317749E1,5.939854429E1
3.238870583E0,-8.009796143E0,3.329470825E1,-4.836459351E1,5.926068120E1
3.248897583E0,-8.822952271E0,3.321337891E1,-4.852355957E1,5.946014513E1
3.258924583E0,-8.818687439E0,3.319628906E1,-4.780255127E1,5.886294899E1
